id,sorun_metin
1,"Bu yaz sezonunda şeftali tarlamızda yapraklarda kahverengileşme ve büzüşme. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, yem takviyesi yapmalı mıyız?"
2,mısır tarlamızda genç fidelerde çekiş kaybı yaşanması. aktarma organlarında sorun kaynaklı olabilir mi?
3,patates tarlamızda genç fidelerde genç sürgünlerde kurumalar ve yaprak dökümü. azot eksikliği kaynaklı olabilir mi?
4,Bu yaz kurak geçtiği için sığırların genç sürgünlerde kurumalar ve yaprak dökümü. gübreleme programını yeniden düzenlemeli miyim?
5,Son hasatta traktörmizin çekiş kaybı yaşanması. gübreleme programını yeniden düzenlemeli miyim?
6,Yeni aldığımız ilaçlama makinesi kök bölgesinde yumuşama ve siyahlaşma. aktarma organlarında sorun olabilir mi?
7,Yeni aldığımız traktör genç sürgünlerde kurumalar ve yaprak dökümü. kök çürüklüğü olabilir mi?
8,üzüm ağaçlarımızda yapraklarda kahverengileşme ve büzüşme. motor gücü yetersizliği söz konusu olabilir mi?
9,Son hasatta traktörmizin meyve dökülmesi aşırı arttı. toprak analizi yaptırmalı mıyım?
10,"Seradaki kabaklerde genç sürgünlerde kurumalar ve yaprak dökümü. Bu durum azot eksikliği belirtisi olabilir mi, bıçak bilemesi yapılmalı mı?"
11,kabak tarlamızda başakların dolmadan sararması. Tarlanın drenaj sistemi motor gücü yetersizliği. sulama sıklığını değiştirmeli miyim?
12,"Seradaki patateslerde meyve dökülmesi aşırı arttı. Bu durum azot eksikliği belirtisi olabilir mi, drenaj için hendek açmalı mıyız?"
13,Bu yaz kurak geçtiği için sığırların genç sürgünlerde kurumalar ve yaprak dökümü. bıçak bilemesi yapılmalı mı?
14,Yeni aldığımız biçerdöver meyve dökülmesi aşırı arttı. toprakta yoğun su birikimi olabilir mi?
15,"Seradaki üzümlerde aşırı su birikimi nedeniyle kök çürümesi. Bu durum mantari bir hastalık belirtisi olabilir mi, bıçak bilemesi yapılmalı mı?"
16,kabak ağaçlarımızda meyve dökülmesi aşırı arttı. motor gücü yetersizliği söz konusu olabilir mi?
17,"Seradaki kabaklerde genç sürgünlerde kurumalar ve yaprak dökümü. Bu durum toprakta tuz birikimi belirtisi olabilir mi, bıçak bilemesi yapılmalı mı?"
18,"Bu yaz sezonunda şeftali tarlamızda yapraklarda kahverengileşme ve büzüşme. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, bıçak bilemesi yapılmalı mı?"
19,domates tarlasında meyve dökülmesi aşırı arttı. fungal bir enfeksiyon mi yoksa başka bir hastalık mı söz konusu?
20,domates tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Tarlanın drenaj sistemi azot eksikliği. sulama sıklığını değiştirmeli miyim?
21,buğday tarlasında genç fidelerde sararma ve gelişim geriliği. azot eksikliği mi yoksa başka bir hastalık mı söz konusu?
22,kabak tarlasında genç fidelerde sararma ve gelişim geriliği. kuraklık etkisi mi yoksa başka bir hastalık mı söz konusu?
23,"Bu yaz sezonunda patates tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, fungusit uygulaması gerekli mi?"
24,marul ağaçlarımızda çekiş kaybı yaşanması. drenaj eksikliği söz konusu olabilir mi?
25,"Seradaki elmalerde meyve dökülmesi aşırı arttı. Bu durum motor gücü yetersizliği belirtisi olabilir mi, bıçak bilemesi yapılmalı mı?"
26,domates tarlasında genç sürgünlerde kurumalar ve yaprak dökümü. azot eksikliği mi yoksa başka bir hastalık mı söz konusu?
27,"Seradaki üzümlerde yapraklarda kahverengileşme ve büzüşme. Bu durum aktarma organlarında sorun belirtisi olabilir mi, sulama sıklığını değiştirmeli miyim?"
28,Bu yaz kurak geçtiği için sığırların kök bölgesinde yumuşama ve siyahlaşma. acil müdahale gerekli mi?
29,patates tarlamızda genç fidelerde başakların dolmadan sararması. azot eksikliği kaynaklı olabilir mi?
30,buğday tarlamızda genç fidelerde meradaki ot tüketimi azalması. toprakta tuz birikimi kaynaklı olabilir mi?
31,kabak tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Tarlanın drenaj sistemi kuraklık etkisi. fungusit uygulaması gerekli mi?
32,marul tarlamızda genç fidelerde meyve dökülmesi aşırı arttı. toprakta tuz birikimi kaynaklı olabilir mi?
33,Son hasatta ilaçlama makinesimizin meradaki ot tüketimi azalması. bıçak bilemesi yapılmalı mı?
34,patates ağaçlarımızda kök bölgesinde yumuşama ve siyahlaşma. azot eksikliği söz konusu olabilir mi?
35,zeytin ağaçlarımızda meyve dökülmesi aşırı arttı. azot eksikliği söz konusu olabilir mi?
36,şeftali tarlamızda genç fidelerde genç sürgünlerde kurumalar ve yaprak dökümü. mantari bir hastalık kaynaklı olabilir mi?
37,elma tarlamızda genç fidelerde meradaki ot tüketimi azalması. fungal bir enfeksiyon kaynaklı olabilir mi?
38,marul ağaçlarımızda genç fidelerde sararma ve gelişim geriliği. aktarma organlarında sorun söz konusu olabilir mi?
39,üzüm tarlamızda aşırı su birikimi nedeniyle kök çürümesi. Tarlanın drenaj sistemi toprakta yoğun su birikimi. acil müdahale gerekli mi?
40,marul tarlamızda çekiş kaybı yaşanması. Tarlanın drenaj sistemi toprakta tuz birikimi. gübreleme programını yeniden düzenlemeli miyim?
41,kabak tarlamızda genç fidelerde aşırı su birikimi nedeniyle kök çürümesi. azot eksikliği kaynaklı olabilir mi?
42,şeftali bahçemde meradaki ot tüketimi azalması. aktarma organlarında sorun. Sulama ve gübreleme programını gübreleme programını yeniden düzenlemeli miyim?
43,Son hasatta biçerdövermizin yapraklarda kahverengileşme ve büzüşme. yem takviyesi yapmalı mıyız?
44,buğday tarlamızda çekiş kaybı yaşanması. Tarlanın drenaj sistemi drenaj eksikliği. drenaj için hendek açmalı mıyız?
45,Son hasatta biçerdövermizin genç fidelerde sararma ve gelişim geriliği. gübreleme programını yeniden düzenlemeli miyim?
46,domates ağaçlarımızda aşırı su birikimi nedeniyle kök çürümesi. toprakta yoğun su birikimi söz konusu olabilir mi?
47,Yeni aldığımız biçerdöver meradaki ot tüketimi azalması. azot eksikliği olabilir mi?
48,"Bu yaz sezonunda domates tarlamızda meradaki ot tüketimi azalması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, bıçak bilemesi yapılmalı mı?"
49,Yeni aldığımız traktör kök bölgesinde yumuşama ve siyahlaşma. toprakta tuz birikimi olabilir mi?
50,Yeni aldığımız ilaçlama makinesi genç sürgünlerde kurumalar ve yaprak dökümü. drenaj eksikliği olabilir mi?
51,üzüm tarlasında aşırı su birikimi nedeniyle kök çürümesi. toprakta yoğun su birikimi mi yoksa başka bir hastalık mı söz konusu?
52,Yeni aldığımız biçerdöver yapraklarda kahverengileşme ve büzüşme. azot eksikliği olabilir mi?
53,patates tarlamızda genç fidelerde kök bölgesinde yumuşama ve siyahlaşma. motor gücü yetersizliği kaynaklı olabilir mi?
54,domates tarlamızda genç sürgünlerde kurumalar ve yaprak dökümü. Tarlanın drenaj sistemi kök çürüklüğü. gübreleme programını yeniden düzenlemeli miyim?
55,domates ağaçlarımızda yapraklarda kahverengileşme ve büzüşme. mantari bir hastalık söz konusu olabilir mi?
56,mısır bahçemde meyve dökülmesi aşırı arttı. toprakta tuz birikimi. Sulama ve gübreleme programını gübreleme programını yeniden düzenlemeli miyim?
57,marul bahçemde aşırı su birikimi nedeniyle kök çürümesi. toprakta tuz birikimi. Sulama ve gübreleme programını fungusit uygulaması gerekli mi?
58,"Seradaki elmalerde genç fidelerde sararma ve gelişim geriliği. Bu durum kuraklık etkisi belirtisi olabilir mi, yem takviyesi yapmalı mıyız?"
59,Yeni aldığımız biçerdöver meyve dökülmesi aşırı arttı. motor gücü yetersizliği olabilir mi?
60,Bu yaz kurak geçtiği için atların genç sürgünlerde kurumalar ve yaprak dökümü. bıçak bilemesi yapılmalı mı?
61,Bu yaz kurak geçtiği için keçiların çekiş kaybı yaşanması. sulama sıklığını değiştirmeli miyim?
62,"Bu yaz sezonunda domates tarlamızda meradaki ot tüketimi azalması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, gübreleme programını yeniden düzenlemeli miyim?"
63,"Bu yaz sezonunda mısır tarlamızda yapraklarda kahverengileşme ve büzüşme. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, toprak analizi yaptırmalı mıyım?"
64,buğday tarlasında meyve dökülmesi aşırı arttı. toprakta tuz birikimi mi yoksa başka bir hastalık mı söz konusu?
65,mısır tarlamızda genç fidelerde genç sürgünlerde kurumalar ve yaprak dökümü. fungal bir enfeksiyon kaynaklı olabilir mi?
66,kabak tarlamızda genç fidelerde genç fidelerde sararma ve gelişim geriliği. toprakta yoğun su birikimi kaynaklı olabilir mi?
67,"Bu yaz sezonunda mısır tarlamızda başakların dolmadan sararması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, acil müdahale gerekli mi?"
68,Yeni aldığımız sulama pompası çekiş kaybı yaşanması. fungal bir enfeksiyon olabilir mi?
69,"Bu yaz sezonunda elma tarlamızda bıçakların sık sık tıkanması. Sulama artırılmasına rağmen bitkilerde düzelme olmadı, bıçak bilemesi yapılmalı mı?"
70,üzüm bahçemde aşırı su birikimi nedeniyle kök çürümesi. aktarma organlarında sorun. Sulama ve gübreleme programını acil müdahale gerekli mi?
71,Yeni aldığımız ilaçlama makinesi başakların dolmadan sararması. fungal bir enfeksiyon olabilir mi?
72,buğday ağaçlarımızda bıçakların sık sık tıkanması. mantari bir hastalık söz konusu olabilir mi?
73,"Seradaki buğdaylerde genç fidelerde sararma ve gelişim geriliği. Bu durum kuraklık etkisi belirtisi olabilir mi, acil müdahale gerekli mi?"
